Date : 2024-12-27 01:09:47
Directory : c:\Users\marti\M-TowerDefense\Assets
Total : 87 files,  7246 codes, 887 comments, 2221 blanks, all 10354 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |         69 |      4,753 |        805 |      1,575 |      7,133 |
| UnityShader |         17 |      2,338 |         82 |        644 |      3,064 |
| JSON        |          1 |        155 |          0 |          2 |        157 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |         87 |      7,246 |        887 |      2,221 |     10,354 |
| Core                                                                                                    |         12 |        650 |         10 |        143 |        803 |
| Core\Helpers                                                                                            |          1 |         33 |          0 |          5 |         38 |
| Core\Managers                                                                                           |          9 |        413 |          2 |         91 |        506 |
| Core\Managers\Scripts                                                                                   |          9 |        413 |          2 |         91 |        506 |
| Core\Systems                                                                                            |          2 |        204 |          8 |         47 |        259 |
| Features                                                                                                |         21 |      1,034 |         33 |        221 |      1,288 |
| Features\Buffs                                                                                          |          2 |         22 |          0 |          5 |         27 |
| Features\Buffs\Scripts                                                                                  |          2 |         22 |          0 |          5 |         27 |
| Features\Enemies                                                                                        |          3 |        127 |          4 |         28 |        159 |
| Features\Enemies\Scripts                                                                                |          3 |        127 |          4 |         28 |        159 |
| Features\ObjectPool                                                                                     |          1 |         58 |          8 |          8 |         74 |
| Features\ObjectPool\Scripts                                                                             |          1 |         58 |          8 |          8 |         74 |
| Features\Projectiles                                                                                    |          3 |        197 |          3 |         46 |        246 |
| Features\Projectiles\Scripts                                                                            |          3 |        197 |          3 |         46 |        246 |
| Features\Rings                                                                                          |          3 |        107 |          6 |         21 |        134 |
| Features\Rings\Scripts                                                                                  |          3 |        107 |          6 |         21 |        134 |
| Features\Towers                                                                                         |          5 |        396 |         10 |         90 |        496 |
| Features\Towers\Scripts                                                                                 |          5 |        396 |         10 |         90 |        496 |
| Features\Waves                                                                                          |          4 |        127 |          2 |         23 |        152 |
| Features\Waves\Scripts                                                                                  |          4 |        127 |          2 |         23 |        152 |
| TextMesh Pro                                                                                            |         52 |      5,502 |        844 |      1,839 |      8,185 |
| TextMesh Pro\Examples & Extras                                                                          |         34 |      3,009 |        762 |      1,193 |      4,964 |
| TextMesh Pro\Examples & Extras\Scripts                                                                  |         34 |      3,009 |        762 |      1,193 |      4,964 |
